timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463351.532,14.648,11.230,20.996,32.227,27.344,0
1506463351.536,12.695,9.277,15.137,32.715,38.086,0
1506463351.540,13.672,10.254,16.113,33.691,26.855,0
1506463351.544,17.090,13.184,20.996,36.621,33.203,0
1506463351.547,22.461,17.090,23.926,43.457,71.777,0
1506463351.551,33.691,26.367,29.785,53.223,68.359,0
1506463351.555,34.180,26.855,29.785,51.758,45.410,0
1506463351.559,36.133,29.297,34.180,55.176,38.086,0
1506463351.563,34.668,27.344,33.203,54.199,35.645,0
1506463351.567,22.461,19.531,24.414,44.434,59.570,0
1506463351.571,20.020,18.555,24.902,49.316,54.199,0
1506463351.575,27.344,21.973,29.297,58.594,0.977,0
1506463351.579,33.203,26.855,29.297,53.711,24.902,0
1506463351.583,35.645,32.227,29.785,55.176,54.688,0
1506463351.587,25.391,27.344,20.996,54.199,23.438,0
1506463351.590,20.508,22.461,14.648,48.340,38.086,0
1506463351.594,18.555,20.996,17.578,46.387,48.340,0
1506463351.598,17.090,20.020,19.043,48.828,13.672,0
1506463351.602,25.391,24.902,24.414,54.688,28.320,0
1506463351.606,20.020,18.555,16.602,46.875,54.199,0
1506463351.610,17.578,13.672,16.113,42.480,50.781,0
1506463351.614,23.926,16.602,20.996,42.480,42.969,0
1506463351.618,20.508,12.695,13.184,34.668,46.875,0
1506463351.622,18.555,7.812,8.301,31.250,57.617,0
1506463351.626,28.320,12.695,12.207,38.574,76.660,0
1506463351.630,40.527,26.855,22.949,49.805,56.152,0
1506463351.633,34.668,26.367,21.973,45.410,19.531,0
1506463351.637,25.879,13.672,11.719,34.668,27.832,0
1506463351.641,27.344,10.254,8.301,35.156,55.664,0
1506463351.645,27.344,14.160,10.742,39.062,58.105,0
1506463351.649,25.879,12.695,12.695,36.621,21.973,0
1506463351.653,19.043,12.695,8.301,32.715,32.227,0
1506463351.657,23.926,20.508,13.672,36.621,67.871,0
1506463351.661,39.551,25.879,25.391,43.945,40.527,0
1506463351.665,39.062,21.484,24.902,41.504,44.434,0
1506463351.669,33.203,13.672,17.578,31.738,51.270,0
1506463351.672,35.645,16.113,17.578,30.762,19.043,0
1506463351.676,33.691,15.137,17.578,33.203,34.180,0
1506463351.680,27.344,10.742,16.113,31.250,54.199,0
1506463351.684,28.809,18.555,21.484,36.133,33.203,0
1506463351.688,28.320,19.531,22.461,39.062,56.641,0
1506463351.692,22.461,18.555,22.461,40.527,54.688,0
1506463351.696,23.438,21.484,29.785,46.875,25.391,0
1506463351.700,24.414,21.484,29.297,49.316,63.477,0
1506463351.704,22.949,20.996,25.391,48.340,54.199,0
