timestamps,X,Y,Z,Marker0
1508750678.710,-1.892,-0.479,-1.264,0
1508750678.730,-2.213,-0.695,-1.637,0
1508750678.750,-2.408,-0.867,-2.161,0
1508750678.770,-2.467,-1.009,-2.744,0
1508750678.789,-2.258,-1.084,-3.230,0
1508750678.809,-2.131,-1.271,-3.701,0
1508750678.829,-2.146,-1.376,-3.993,0
1508750678.848,-2.333,-1.458,-4.075,0
1508750678.868,-2.572,-1.563,-3.955,0
1508750678.888,-2.669,-1.503,-3.776,0
1508750678.907,-2.348,-1.114,-3.551,0
1508750678.927,-1.667,-0.606,-3.260,0
1508750678.947,-0.897,-0.022,-2.826,0
1508750678.967,-0.090,0.508,-2.333,0
1508750678.986,0.254,0.733,-1.899,0
1508750679.006,0.142,0.628,-1.458,0
1508750679.026,-0.194,0.479,-1.151,0
1508750679.045,-0.718,0.366,-1.084,0
1508750679.065,-0.785,0.277,-1.458,0
1508750679.085,-0.695,0.277,-1.884,0
1508750679.105,-0.479,0.277,-2.355,0
1508750679.124,-0.404,0.142,-2.684,0
1508750679.144,-0.366,0.127,-2.819,0
1508750679.164,-0.314,0.142,-2.819,0
1508750679.183,-0.381,0.142,-2.684,0
1508750679.203,-0.284,0.254,-2.437,0
1508750679.223,-0.187,0.322,-2.049,0
1508750679.242,-0.075,0.419,-1.944,0
1508750679.262,0.000,0.501,-2.049,0
1508750679.282,0.045,0.471,-2.318,0
1508750679.302,0.142,0.493,-2.497,0
1508750679.321,0.209,0.523,-2.579,0
1508750679.341,0.217,0.523,-2.692,0
1508750679.361,0.164,0.441,-2.946,0
1508750679.380,0.142,0.479,-3.110,0
1508750679.400,0.232,0.523,-3.245,0
1508750679.420,0.217,0.561,-3.447,0
1508750679.440,0.239,0.606,-3.566,0
1508750679.459,0.307,0.598,-3.522,0
1508750679.479,0.419,0.568,-3.529,0
1508750679.499,0.299,0.501,-3.507,0
1508750679.518,0.090,0.374,-3.462,0
1508750679.538,-0.037,0.329,-3.335,0
1508750679.558,0.037,0.329,-3.185,0
1508750679.578,0.157,0.374,-2.968,0
1508750679.597,0.262,0.441,-2.879,0
1508750679.617,0.239,0.456,-2.722,0
1508750679.637,0.150,0.419,-2.490,0
1508750679.656,0.120,0.479,-2.265,0
1508750679.676,0.157,0.546,-2.236,0
1508750679.696,0.314,0.621,-2.348,0
1508750679.715,0.374,0.650,-2.497,0
1508750679.735,0.396,0.591,-2.572,0
1508750679.755,0.299,0.561,-2.617,0
1508750679.775,0.202,0.546,-2.520,0
1508750679.794,0.202,0.576,-2.497,0
1508750679.814,0.277,0.636,-2.490,0
1508750679.834,0.179,0.621,-2.430,0
1508750679.853,0.090,0.621,-2.400,0
1508750679.873,0.105,0.628,-2.370,0
1508750679.893,0.232,0.598,-2.482,0
1508750679.913,0.277,0.613,-2.482,0
1508750679.932,0.164,0.568,-2.437,0
1508750679.952,-0.060,0.471,-2.348,0
1508750679.972,-0.224,0.411,-2.310,0
1508750679.991,-0.464,0.314,-2.161,0
