timestamps,X,Y,Z,Marker0
1492418502.416,-0.880,0.401,0.217,0
1492418502.436,-0.880,0.400,0.218,0
1492418502.456,-0.882,0.401,0.217,0
1492418502.475,-0.886,0.401,0.217,0
1492418502.495,-0.890,0.401,0.217,0
1492418502.515,-0.888,0.399,0.219,0
1492418502.535,-0.886,0.397,0.219,0
1492418502.554,-0.882,0.397,0.219,0
1492418502.574,-0.880,0.398,0.217,0
1492418502.594,-0.884,0.399,0.218,0
1492418502.613,-0.885,0.401,0.218,0
1492418502.633,-0.887,0.402,0.219,0
1492418502.653,-0.885,0.401,0.218,0
1492418502.672,-0.884,0.401,0.220,0
1492418502.692,-0.883,0.399,0.219,0
1492418502.712,-0.881,0.398,0.219,0
1492418502.732,-0.885,0.399,0.219,0
1492418502.751,-0.885,0.400,0.220,0
1492418502.771,-0.885,0.399,0.219,0
1492418502.791,-0.885,0.399,0.218,0
1492418502.810,-0.884,0.399,0.219,0
1492418502.830,-0.883,0.398,0.218,0
1492418502.850,-0.885,0.398,0.218,0
1492418502.870,-0.885,0.399,0.217,0
1492418502.889,-0.886,0.399,0.218,0
1492418502.909,-0.885,0.399,0.217,0
1492418502.929,-0.885,0.398,0.219,0
1492418502.948,-0.883,0.398,0.219,0
1492418502.968,-0.883,0.397,0.219,0
1492418502.988,-0.883,0.398,0.218,0
1492418503.008,-0.884,0.400,0.217,0
1492418503.027,-0.887,0.400,0.220,0
1492418503.047,-0.890,0.400,0.218,0
1492418503.067,-0.886,0.400,0.220,0
1492418503.086,-0.883,0.400,0.220,0
1492418503.106,-0.879,0.397,0.219,0
1492418503.126,-0.880,0.396,0.218,0
1492418503.145,-0.882,0.399,0.217,0
1492418503.165,-0.887,0.399,0.217,0
1492418503.185,-0.889,0.400,0.218,0
1492418503.205,-0.890,0.399,0.217,0
1492418503.224,-0.886,0.397,0.217,0
1492418503.244,-0.883,0.397,0.219,0
1492418503.264,-0.880,0.398,0.218,0
1492418503.283,-0.881,0.398,0.216,0
1492418503.303,-0.886,0.400,0.215,0
1492418503.323,-0.888,0.400,0.216,0
1492418503.343,-0.887,0.402,0.217,0
1492418503.362,-0.885,0.400,0.216,0
1492418503.382,-0.883,0.398,0.218,0
1492418503.402,-0.884,0.397,0.218,0
1492418503.421,-0.884,0.398,0.218,0
1492418503.441,-0.886,0.398,0.217,0
1492418503.461,-0.887,0.396,0.217,0
1492418503.480,-0.886,0.396,0.218,0
1492418503.500,-0.885,0.397,0.218,0
1492418503.520,-0.884,0.397,0.217,0
1492418503.540,-0.885,0.399,0.216,0
1492418503.559,-0.885,0.400,0.218,0
1492418503.579,-0.886,0.399,0.218,0
1492418503.599,-0.885,0.398,0.216,0
1492418503.618,-0.886,0.399,0.216,0
1492418503.638,-0.886,0.397,0.216,2
1492418503.658,-0.885,0.396,0.217,0
1492418503.678,-0.885,0.397,0.216,0
1492418503.697,-0.885,0.396,0.216,0
1492418503.717,-0.888,0.398,0.216,0
1492418503.737,-0.888,0.398,0.216,0
1492418503.756,-0.885,0.400,0.216,0
1492418503.776,-0.882,0.402,0.217,0
1492418503.796,-0.880,0.401,0.216,0
1492418503.815,-0.881,0.400,0.217,0
1492418503.835,-0.882,0.400,0.216,0
1492418503.855,-0.886,0.399,0.218,0
1492418503.875,-0.888,0.399,0.216,0
1492418503.894,-0.887,0.399,0.219,0
1492418503.914,-0.886,0.397,0.218,0
1492418503.934,-0.885,0.398,0.218,0
1492418503.953,-0.882,0.399,0.216,0
1492418503.973,-0.882,0.400,0.216,0
1492418503.993,-0.885,0.401,0.216,0
1492418504.013,-0.884,0.401,0.215,0
1492418504.032,-0.884,0.403,0.216,0
1492418504.052,-0.886,0.402,0.215,0
1492418504.072,-0.885,0.401,0.216,0
1492418504.091,-0.885,0.400,0.216,0
1492418504.111,-0.884,0.399,0.217,0
1492418504.131,-0.883,0.398,0.217,3
1492418504.150,-0.884,0.398,0.216,0
1492418504.170,-0.886,0.398,0.217,0
1492418504.190,-0.885,0.398,0.217,0
1492418504.210,-0.885,0.399,0.217,0
1492418504.229,-0.886,0.399,0.218,0
1492418504.249,-0.884,0.399,0.218,0
